state,county,cfips,latitude,longitude
Alabama,Autauga County,1001,32.5081,-86.6513
Alabama,Baldwin County,1003,30.7725,-87.7842
Alabama,Barbour County,1005,31.8832,-85.3931
Alabama,Bibb County,1007,33.0388,-87.0967
Alabama,Blount County,1009,34.0126,-86.5339
Alabama,Bullock County,1011,32.0945,-85.7131
Alabama,Butler County,1013,31.7404,-86.6759
Alabama,Calhoun County,1015,33.7625,-85.8417
Alabama,Chambers County,1017,32.9225,-85.3942
Alabama,Cherokee County,1019,34.2345,-85.6478
Alabama,Chilton County,1021,32.8658,-86.665
Alabama,Choctaw County,1023,32.0048,-88.286
Alabama,Clarke County,1025,31.5888,-87.8145
Alabama,Clay County,1027,33.2947,-85.8155
Alabama,Cleburne County,1029,33.7164,-85.4945
Alabama,Coffee County,1031,31.399,-85.993
Alabama,Colbert County,1033,34.7368,-87.5953
Alabama,Conecuh County,1035,31.4682,-86.9508
Alabama,Coosa County,1037,32.9278,-86.2616
Alabama,Covington County,1039,31.2565,-86.4472
Alabama,Crenshaw County,1041,31.7415,-86.2967
Alabama,Cullman County,1043,34.0862,-86.9042
Alabama,Dale County,1045,31.4079,-85.6038
Alabama,Dallas County,1047,32.3888,-87.1278
Alabama,DeKalb County,1049,34.5306,-85.7226
Alabama,Elmore County,1051,32.5877,-86.1519
Alabama,Escambia County,1053,31.1268,-87.158
Alabama,Etowah County,1055,34.0211,-86.0433
Alabama,Fayette County,1057,33.7201,-87.7385
Alabama,Franklin County,1059,34.4509,-87.844
Alabama,Geneva County,1061,31.0954,-85.839
Alabama,Greene County,1063,32.8362,-88.0005
Alabama,Hale County,1065,32.7441,-87.6382
Alabama,Henry County,1067,31.5417,-85.2284
Alabama,Houston County,1069,31.1562,-85.2809
Alabama,Jackson County,1071,34.7224,-86.0339
Alabama,Jefferson County,1073,33.5455,-86.8602
Alabama,Lamar County,1075,33.7932,-88.0966
Alabama,Lauderdale County,1077,34.87,-87.5844
Alabama,Lawrence County,1079,34.5516,-87.3181
Alabama,Lee County,1081,32.5787,-85.3621
Alabama,Limestone County,1083,34.7752,-87.0313
Alabama,Lowndes County,1085,32.1852,-86.6581
Alabama,Macon County,1087,32.4142,-85.7275
Alabama,Madison County,1089,34.7333,-86.5722
Alabama,Marengo County,1091,32.269,-87.7608
Alabama,Marion County,1093,34.1214,-87.918
Alabama,Marshall County,1095,34.3531,-86.3454
Alabama,Mobile County,1097,30.7466,-88.2172
Alabama,Monroe County,1099,31.5303,-87.3817
